book,sport,event_id,event_start_time,home_team,away_team,market_type,outcome,opening_price,current_price,price_movement,opening_line,current_line,line_movement,last_updated
betonlineag,MMA,05b3dc3515568962c8e7351c06ff69c0,2026-06-28T02:00:00+00:00,Merab Dvalishvili,Petr Yan,moneyline,away,-200,-200,0,,,,2026-01-03T19:15:31.657547+00:00
betonlineag,MMA,05b3dc3515568962c8e7351c06ff69c0,2026-06-28T02:00:00+00:00,Merab Dvalishvili,Petr Yan,moneyline,home,170,170,0,,,,2026-01-03T19:15:31.657547+00:00
draftkings,MMA,1b337ecb89983719ba8ce019c4ebd03b,2026-01-25T02:30:00+00:00,Kayla Harrison,Amanda Nunes,moneyline,away,164,164,0,,,,2026-01-03T19:15:31.657547+00:00
fanduel,MMA,1b337ecb89983719ba8ce019c4ebd03b,2026-01-25T02:30:00+00:00,Kayla Harrison,Amanda Nunes,moneyline,away,158,158,0,,,,2026-01-03T19:15:31.657547+00:00
betonlineag,MMA,1b337ecb89983719ba8ce019c4ebd03b,2026-01-25T02:30:00+00:00,Kayla Harrison,Amanda Nunes,moneyline,away,180,180,0,,,,2026-01-03T19:15:31.657547+00:00
betmgm,MMA,1b337ecb89983719ba8ce019c4ebd03b,2026-01-25T02:30:00+00:00,Kayla Harrison,Amanda Nunes,moneyline,away,175,175,0,,,,2026-01-03T19:15:31.657547+00:00
draftkings,MMA,1b337ecb89983719ba8ce019c4ebd03b,2026-01-25T02:30:00+00:00,Kayla Harrison,Amanda Nunes,moneyline,home,-198,-198,0,,,,2026-01-03T19:15:31.657547+00:00
fanduel,MMA,1b337ecb89983719ba8ce019c4ebd03b,2026-01-25T02:30:00+00:00,Kayla Harrison,Amanda Nunes,moneyline,home,-205,-205,0,,,,2026-01-03T19:15:31.657547+00:00
betonlineag,MMA,1b337ecb89983719ba8ce019c4ebd03b,2026-01-25T02:30:00+00:00,Kayla Harrison,Amanda Nunes,moneyline,home,-210,-210,0,,,,2026-01-03T19:15:31.657547+00:00
betmgm,MMA,1b337ecb89983719ba8ce019c4ebd03b,2026-01-25T02:30:00+00:00,Kayla Harrison,Amanda Nunes,moneyline,home,-225,-225,0,,,,2026-01-03T19:15:31.657547+00:00
